country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Haiti,HTI,41.0,332.0,HAI,463,46,"There have been an estimated 463 fatalities recorded in Haiti from 46 events in 2 conflict dyads (Haiti: Government, Gran Grif - Civilians), since July 2024. The most recent conflict event was on 24 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Mexico,MEX,70.0,484.0,MEX,3094,2454,"There have been an estimated 3094 fatalities recorded in Mexico from 2454 events in 11 conflict dyads (Jalisco Cartel New Generation - Santa Rosa de Lima Cartel, Sinaloa Cartel - Los Chapitos - Sinaloa Cartel - Los Mayos, Juarez Cartel - Sinaloa Cartel, Jalisco Cartel New Generation - Sinaloa Cartel, Cartel Independiente de Acapulco - Los Rusos, Carteles Unidos - Michoacán Cartel New Generation, Jalisco Cartel New Generation, Sangre Nueva Zeta - Los Rojos, Carteles Unidos - Jalisco Cartel New Generation, Cartel Independiente de Acapulco - Los Rusos, UPOEG, Los Ardillos - Los Tlacos, Caborca Cartel, Sinaloa Cartel - Los Mayos - Sinaloa Cartel - Los Chapitos), since July 2024. The most recent conflict event was on 30 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Colombia,COL,100.0,170.0,COL,434,245,"There have been an estimated 434 fatalities recorded in Colombia from 245 events in 6 conflict dyads (Los Costenos - Los Pepes, Colombia: Government, EGC - Civilians, FARC-EMC - FARC-EMC-Calarcá, EGC - ELN, FARC-EMC, FARC-EMC - Civilians), since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Ecuador,ECU,130.0,218.0,ECU,293,187,"There have been an estimated 293 fatalities recorded in Ecuador from 187 events in 2 conflict dyads (Los Choneros - Los Lobos, Los Tiguerones Fenix faction - Los Tiguerones Igualitos faction), since July 2024. The most recent conflict event was on 27 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Brazil,BRA,140.0,76.0,BRA,502,462,"There have been an estimated 502 fatalities recorded in Brazil from 462 events in 9 conflict dyads (Bonde dos 40 - PCC, Comando Vermelho - PCC, Cartel do Norte - Comando Vermelho, GDE, PCC - Sindicato do Crime, Amigos Para Sempre - Família Terror Amapá, Bonde dos 13, PCC - Comando Vermelho, Bonde dos 40 - Comando Vermelho, PCC - Sindicato do Crime, Comando Vermelho - GDE), since July 2024. The most recent conflict event was on 10 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Russia,RUS,365.0,643.0,RUS,10177,914,"There have been an estimated 10177 fatalities recorded in Russia (Soviet Union) from 914 events in 2 conflict dyads (Russia - Ukraine, Russia: Islamic State), since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Ukraine,UKR,369.0,804.0,UKR,54085,6356,"There have been an estimated 54085 fatalities recorded in Ukraine from 6356 events in 2 conflict dyads (Russia - Ukraine, Government of Russia (Soviet Union) - Civilians), since July 2024. The most recent conflict event was on 30 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Mali,MLI,432.0,466.0,MLI,1900,546,"There have been an estimated 1900 fatalities recorded in Mali from 546 events in 12 conflict dyads (Mali: Government, Mali: Government/Azawad, Government of Mali, Government of Russia (Soviet Union) - Civilians, Mali: Islamic State, Dan na Ambassagou - JNIM, Government of Mali - Civilians, JNIM - Civilians, IS - Civilians, Government of Burkina Faso - Civilians, Dozos (Mali) - JNIM, IS - JNIM, Government of Russia (Soviet Union) - Civilians), since July 2024. The most recent conflict event was on 29 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Benin,BEN,434.0,204.0,BEN,28,12,"There have been an estimated 28 fatalities recorded in Benin from 12 events in 2 conflict dyads (JNIM - Civilians, Benin: Government), since July 2024. The most recent conflict event was on 06 February 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Niger,NER,436.0,562.0,NIR,1034,79,"There have been an estimated 1034 fatalities recorded in Niger from 79 events in 5 conflict dyads (Niger: Government, IS - Civilians, Niger: Islamic State, JNIM - Civilians, JAS - Civilians), since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Burkina Faso,BFA,439.0,854.0,BFO,3296,489,"There have been an estimated 3296 fatalities recorded in Burkina Faso from 489 events in 7 conflict dyads (Burkina Faso: Government, JNIM - Civilians, Government of Burkina Faso - Civilians, IS - Civilians, Mali: Government, IS - JNIM, Burkina Faso: Islamic State), since July 2024. The most recent conflict event was on 30 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Togo,TGO,461.0,768.0,TOG,36,6,"There have been an estimated 36 fatalities recorded in Togo from 6 events in 2 conflict dyads (Togo: Government, JNIM - Civilians), since July 2024. The most recent conflict event was on 19 November 2024.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Cameroon,CMR,471.0,120.0,CAO,262,127,"There have been an estimated 262 fatalities recorded in Cameroon from 127 events in 6 conflict dyads (Cameroon: Ambazonia, JAS - Civilians, IS - Civilians, Cameroon: Government, Ambazonia insurgents - Civilians, IS - JAS), since July 2024. The most recent conflict event was on 30 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Nigeria,NGA,475.0,566.0,NIG,2386,315,"There have been an estimated 2386 fatalities recorded in Nigeria from 315 events in 10 conflict dyads (Nigeria: Islamic State, JAS - Civilians, IS - Civilians, IS - JAS, Nigeria: Government, Nigeria: Biafra, Black Axe - Eyie, Agatu - Fulani, Fulani - Tiv, Fulani - Irigwe), since July 2024. The most recent conflict event was on 29 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Central African Republic,CAF,482.0,140.0,CEN,215,41,"There have been an estimated 215 fatalities recorded in Central African Republic from 41 events in 6 conflict dyads (Central African Republic: Government, Government of Russia (Soviet Union) - Civilians, Government of Central African Republic - Civilians, CPC - Civilians, AAKG - Civilians, AAKG - CPC), since July 2024. The most recent conflict event was on 17 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Chad,TCD,483.0,148.0,CHA,199,14,"There have been an estimated 199 fatalities recorded in Chad from 14 events in 3 conflict dyads (JAS - Civilians, Farmers (Chad) - Herders (Chad), Nigeria: Government), since July 2024. The most recent conflict event was on 07 March 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
"Congo, Democratic Republic of the",COD,490.0,180.0,DRC,12722,632,"There have been an estimated 12722 fatalities recorded in DR Congo (Zaire) from 632 events in 15 conflict dyads (DR Congo (Zaire): Government, IS - Civilians, AFC - Civilians, Zaire self-defense group - Civilians, AFC - VDP, URDPC - Civilians, Mobondo - Civilians, VDP - Civilians, Government of DR Congo (Zaire) - Civilians, DR Congo (Zaire): Islamic State, Lengola - Mbole, URDPC - Zaire self-defense group, CPC - Civilians, FDLR-FOCA - Civilians, Burundi: Government), since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Kenya,KEN,501.0,404.0,KEN,91,25,"There have been an estimated 91 fatalities recorded in Kenya from 25 events in 3 conflict dyads (Kenya: Northeastern Province and Coast, Dassanetch - Turkana, Somalia: Government), since July 2024. The most recent conflict event was on 17 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Burundi,BDI,516.0,108.0,BUI,73,57,"There have been an estimated 73 fatalities recorded in Burundi from 57 events in the Government of Burundi - Civilians conflict dyad, since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Rwanda,RWA,517.0,646.0,RWA,17,2,"There have been an estimated 17 fatalities recorded in Rwanda from 2 events in 2 conflict dyads (DR Congo (Zaire): Government, Government of DR Congo (Zaire) - Civilians), since July 2024. The most recent conflict event was on 31 January 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Somalia,SOM,520.0,706.0,SOM,3287,247,"There have been an estimated 3287 fatalities recorded in Somalia from 247 events in 3 conflict dyads (Somalia: Islamic State, Somalia: Government, Al-Shabaab - Civilians), since July 2024. The most recent conflict event was on 30 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Ethiopia,ETH,530.0,231.0,ETH,2802,1189,"There have been an estimated 2802 fatalities recorded in Ethiopia from 1189 events in 6 conflict dyads (OLA - Civilians, Ethiopia: Government/Amhara, Ethiopia: Oromiya, Government of Ethiopia - Civilians, Fano - Civilians, Dassanetch - Turkana), since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Mozambique,MOZ,541.0,508.0,MZM,629,205,"There have been an estimated 629 fatalities recorded in Mozambique from 205 events in 5 conflict dyads (Government of Mozambique - Civilians, IS - Civilians, Mozambique: Islamic State, Mozambique: Government, IS - Naparama), since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Sudan,SDN,625.0,729.0,SUD,10399,697,"There have been an estimated 10399 fatalities recorded in Sudan from 697 events in 3 conflict dyads (Sudan: Government, RSF - Civilians, Government of Sudan - Civilians), since July 2024. The most recent conflict event was on 30 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
South Sudan,SSD,626.0,728.0,SSD,43,2,"There have been an estimated 43 fatalities recorded in South Sudan from 2 events in 2 conflict dyads (Bor Dinka - Acholi, Murle, Sudan: Government), since July 2024. The most recent conflict event was on 31 January 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Iran,IRN,630.0,364.0,IRN,1261,56,"There have been an estimated 1261 fatalities recorded in Iran from 56 events in 3 conflict dyads (Iran - Israel, Israel: Palestine, Iran: Government), since July 2024. The most recent conflict event was on 06 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Turkey,TUR,640.0,792.0,TUR,15,17,"There have been an estimated 15 fatalities recorded in Turkey from 17 events in the Turkey: Kurdistan conflict dyad, since July 2024. The most recent conflict event was on 29 October 2024.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Iraq,IRQ,645.0,368.0,IRQ,293,200,"There have been an estimated 293 fatalities recorded in Iraq from 200 events in 3 conflict dyads (Turkey: Kurdistan, Iraq: Government, IS - Civilians), since July 2024. The most recent conflict event was on 29 June 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Syria,SYR,652.0,760.0,SYR,7349,722,"There have been an estimated 7349 fatalities recorded in Syria from 722 events in 12 conflict dyads (Syria: Government, SNA - SDF, Government of Syria - Civilians, IS - SDF, IS - Civilians, Iran - Israel, Israel - Syria, Syria: Islamic State, Syria: Government/Rojava Kurdistan, Israel: Palestine, Israel: Southern Lebanon, Government of Israel - Civilians), since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Lebanon,LBN,660.0,422.0,LEB,4106,1057,"There have been an estimated 4106 fatalities recorded in Lebanon from 1057 events in 2 conflict dyads (Israel: Southern Lebanon, Israel: Palestine), since July 2024. The most recent conflict event was on 28 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
Israel,ISR,666.0,376.0,ISR,18463,3348,"There have been an estimated 18463 fatalities recorded in Israel from 3348 events in 4 conflict dyads (Israel: Palestine, Government of Israel - Civilians, Iran - Israel, Israel: Southern Lebanon), since July 2024. The most recent conflict event was on 30 July 2025.",July 2024,July 2025,12 months,UCDP GED Candidate (July 2025)
