country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Haiti,HTI,41,332.0,HAI,634,79,"There have been an estimated 634 fatalities recorded in Haiti from 79 events in 4 conflict dyads (Viv Ansanm - Civilians, Haiti: Government, Kokorat sans ras - Civilians, Gran Grif - Civilians), since July 2025. The most recent conflict event was on 31 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Mexico,MEX,70,484.0,MEX,4790,1304,"There have been an estimated 4790 fatalities recorded in Mexico from 1304 events in 13 conflict dyads (Jalisco Cartel New Generation, Sinaloa Cartel - Los Chapitos - Sinaloa Cartel - Los Mayos, Cartel Independiente de Acapulco - Los Rusos, Jalisco Cartel New Generation - Santa Rosa de Lima Cartel, Los Ardillos - Los Tlacos, Carteles Unidos - Jalisco Cartel New Generation, Los Blancos de Troya, Los de la Virgen, Los Viagras, Jalisco Cartel New Generation - Gulf Cartel - Grupo Sombra faction, Jalisco Cartel New Generation - Civilians, Juarez Cartel - Sinaloa Cartel, Jalisco Cartel New Generation - Sinaloa Cartel, Sinaloa Cartel - Civilians, Jalisco Cartel New Generation - La Barredora, Caborca Cartel, Sinaloa Cartel - Los Mayos - Sinaloa Cartel - Los Chapitos, Sinaloa Cartel - Los Chapitos - Sinaloa Cartel - Los Mayos), since July 2025. The most recent conflict event was on 30 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Guatemala,GTM,90,320.0,GUA,7,5,"There have been an estimated 7 fatalities recorded in Guatemala from 5 events in the Jalisco Cartel New Generation - Sinaloa Cartel conflict dyad, since July 2025. The most recent conflict event was on 08 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Costa Rica,CRI,94,188.0,COS,56,57,"There have been an estimated 56 fatalities recorded in Costa Rica from 57 events in 2 conflict dyads (Forces of Tony Peña - Los Hondureños, Forces of Churro - Los Gemelos), since July 2025. The most recent conflict event was on 31 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Colombia,COL,100,170.0,COL,439,230,"There have been an estimated 439 fatalities recorded in Colombia from 230 events in 12 conflict dyads (Los Costenos - Los Pepes, ELN - EMBF, Colombia: Government, FARC-EMC - Civilians, ELN - Civilians, Autodefensas Conquistadoras de la Sierra Nevada - Civilians, EGC - Civilians, EGC - Autodefensas Conquistadoras de la Sierra Nevada, EGC - ELN, EGC - La Terraza, FARC-EMC - ELN, Los Costenos - Civilians), since July 2025. The most recent conflict event was on 30 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Ecuador,ECU,130,218.0,ECU,133,45,"There have been an estimated 133 fatalities recorded in Ecuador from 45 events in 3 conflict dyads (Los Choneros - Los Lobos, Los Lobos  - Los Lobos Box, Los Tiguerones Fenix faction - Los Tiguerones Igualitos faction), since July 2025. The most recent conflict event was on 22 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Brazil,BRA,140,76.0,BRA,204,180,"There have been an estimated 204 fatalities recorded in Brazil from 180 events in 9 conflict dyads (Comando Vermelho - PCC, Bonde dos 40 - PCC, PCC - Sindicato do Crime, GDE, PCC - Sindicato do Crime, Bonde dos 40 - Comando Vermelho, Comando Vermelho - Civilians, Comando Vermelho - Terceiro Comando Puro, Comando Vermelho - Família Terror Amapá, Bonde dos 13, PCC - Comando Vermelho), since July 2025. The most recent conflict event was on 29 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Argentina,ARG,160,32.0,ARG,15,12,"There have been an estimated 15 fatalities recorded in Argentina from 12 events in the Los Monos - Civilians conflict dyad, since July 2025. The most recent conflict event was on 23 December 2025.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Russia,RUS,365,643.0,RUS,325,173,"There have been an estimated 325 fatalities recorded in Russia (Soviet Union) from 173 events in 2 conflict dyads (Russia - Ukraine, Government of Russia (Soviet Union) - Civilians), since July 2025. The most recent conflict event was on 26 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
Ukraine,UKR,369,804.0,UKR,64006,3856,"There have been an estimated 64006 fatalities recorded in Ukraine from 3856 events in 2 conflict dyads (Russia - Ukraine, Government of Russia (Soviet Union) - Civilians), since July 2025. The most recent conflict event was on 30 June 2026.",July 2025,July 2026,12 months,UCDP GED Candidate (July 2026)
